x	y	ey
1.300000e+00	1.140426e+00	1.215377e-02
1.500000e+00	1.146141e+00	1.149179e-02
1.600000e+00	1.151094e+00	1.193262e-02
1.800000e+00	1.156452e+00	1.232715e-02
2.000000e+00	1.164978e+00	1.202284e-02
2.700000e+00	1.184564e+00	1.285361e-02
3.100000e+00	1.197220e+00	1.266525e-02
3.100000e+00	1.199698e+00	1.385619e-02
3.800000e+00	1.220632e+00	1.297853e-02
4.168000e+00	1.233649e+00	1.084595e-02
4.600000e+00	1.247120e+00	1.413015e-02
6.200000e+00	1.303582e+00	1.391924e-02
6.600000e+00	1.317298e+00	1.412847e-02
7.000000e+00	1.330712e+00	1.280989e-02
7.800000e+00	1.357792e+00	1.487460e-02
8.100000e+00	1.370454e+00	1.236720e-02
9.200000e+00	1.407335e+00	1.321876e-02
9.900000e+00	1.434411e+00	1.360379e-02
1.020000e+01	1.440831e+00	1.434446e-02
1.050000e+01	1.456395e+00	1.313618e-02
1.100000e+01	1.472733e+00	1.409949e-02
1.150000e+01	1.489585e+00	1.243208e-02
1.250000e+01	1.528617e+00	1.514448e-02
1.330000e+01	1.557312e+00	1.377269e-02
1.500000e+01	1.622429e+00	1.309831e-02
