x	y	ey
1.300000e+00	1.098128e+00	8.978224e-03
1.500000e+00	1.104551e+00	9.338828e-03
1.600000e+00	1.114529e+00	1.269004e-02
1.800000e+00	1.112223e+00	1.919776e-02
2.000000e+00	1.110008e+00	1.073874e-02
2.700000e+00	1.140358e+00	1.004729e-02
3.100000e+00	1.150827e+00	1.587681e-02
3.100000e+00	1.144508e+00	1.469670e-02
3.800000e+00	1.167518e+00	1.902737e-02
4.168000e+00	1.172548e+00	1.310890e-02
4.600000e+00	1.177865e+00	1.553820e-02
6.200000e+00	1.225048e+00	1.430757e-02
6.600000e+00	1.228089e+00	1.667333e-02
7.000000e+00	1.250215e+00	2.090792e-02
7.800000e+00	1.264965e+00	1.179512e-02
8.100000e+00	1.281419e+00	1.149413e-02
9.200000e+00	1.300580e+00	1.959413e-02
9.900000e+00	1.323723e+00	2.607072e-02
1.020000e+01	1.342172e+00	2.057160e-02
1.050000e+01	1.338747e+00	1.875326e-02
1.100000e+01	1.370803e+00	2.024364e-02
1.150000e+01	1.379785e+00	1.453436e-02
1.250000e+01	1.406704e+00	1.707920e-02
1.330000e+01	1.426717e+00	1.162830e-02
1.500000e+01	1.481448e+00	1.686846e-02
