x	y	ey
1.300000e+00	1.091905e+00	1.172366e-02
1.500000e+00	1.099494e+00	9.057522e-03
1.600000e+00	1.098643e+00	1.165991e-02
1.800000e+00	1.104584e+00	1.237837e-02
2.000000e+00	1.113654e+00	1.702467e-02
2.700000e+00	1.131291e+00	1.270714e-02
3.100000e+00	1.135640e+00	1.383704e-02
3.100000e+00	1.152018e+00	1.515104e-02
3.800000e+00	1.157237e+00	1.185143e-02
4.168000e+00	1.178710e+00	1.822649e-02
4.600000e+00	1.187285e+00	1.484866e-02
6.200000e+00	1.239017e+00	1.190850e-02
6.600000e+00	1.245387e+00	1.641209e-02
7.000000e+00	1.267275e+00	1.633870e-02
7.800000e+00	1.283915e+00	1.433020e-02
8.100000e+00	1.299437e+00	1.653612e-02
9.200000e+00	1.317103e+00	1.826807e-02
9.900000e+00	1.350020e+00	1.807623e-02
1.020000e+01	1.358801e+00	1.662763e-02
1.050000e+01	1.367360e+00	1.436107e-02
1.100000e+01	1.369480e+00	1.623012e-02
1.150000e+01	1.394552e+00	1.789695e-02
1.250000e+01	1.434621e+00	2.899967e-02
1.330000e+01	1.456533e+00	2.152979e-02
1.500000e+01	1.513887e+00	1.800598e-02
