x	y1	ey1	y2	ey2	y3	ey3
1.300000e+00	9.022413e-01	1.039144e-02	7.970341e-02	9.085952e-03	1.805527e-02	4.971705e-03
1.500000e+00	8.946487e-01	1.091047e-02	8.724400e-02	9.585774e-03	1.810732e-02	4.959688e-03
1.600000e+00	8.895462e-01	9.787842e-03	9.173029e-02	8.540244e-03	1.872355e-02	4.710880e-03
1.800000e+00	8.853347e-01	1.063716e-02	9.591649e-02	9.375416e-03	1.874880e-02	4.965966e-03
2.000000e+00	8.798371e-01	1.238950e-02	1.017357e-01	1.087532e-02	1.842715e-02	5.280153e-03
2.700000e+00	8.561150e-01	1.247738e-02	1.254868e-01	1.052961e-02	1.839821e-02	5.364195e-03
3.100000e+00	8.452519e-01	1.110137e-02	1.365419e-01	1.089823e-02	1.820615e-02	5.036313e-03
3.100000e+00	8.431937e-01	1.298710e-02	1.386921e-01	1.217857e-02	1.811420e-02	4.659614e-03
3.800000e+00	8.227236e-01	1.264843e-02	1.590630e-01	1.178218e-02	1.821346e-02	4.903640e-03
4.168000e+00	8.095454e-01	1.267684e-02	1.715020e-01	1.173456e-02	1.895257e-02	5.086634e-03
4.600000e+00	7.967373e-01	1.309907e-02	1.845139e-01	1.281935e-02	1.874885e-02	5.559783e-03
6.200000e+00	7.437023e-01	1.220039e-02	2.373761e-01	1.152504e-02	1.892158e-02	5.079017e-03
6.600000e+00	7.273977e-01	1.590951e-02	2.522805e-01	1.481187e-02	2.032175e-02	5.887508e-03
7.000000e+00	7.140631e-01	1.541806e-02	2.658669e-01	1.504386e-02	2.006998e-02	4.831948e-03
7.800000e+00	6.881402e-01	1.625172e-02	2.915936e-01	1.523978e-02	2.026620e-02	6.037690e-03
8.100000e+00	6.756039e-01	1.573550e-02	3.029448e-01	1.509722e-02	2.145131e-02	4.967136e-03
9.200000e+00	6.388211e-01	1.579220e-02	3.403698e-01	1.631861e-02	2.080907e-02	5.700897e-03
9.900000e+00	6.127250e-01	1.439978e-02	3.664845e-01	1.374063e-02	2.079053e-02	5.358733e-03
1.020000e+01	6.048916e-01	1.523692e-02	3.741998e-01	1.574680e-02	2.090860e-02	5.133543e-03
1.050000e+01	5.941425e-01	1.506290e-02	3.846832e-01	1.591503e-02	2.117426e-02	6.014601e-03
1.100000e+01	5.755131e-01	1.407459e-02	4.029206e-01	1.420108e-02	2.156625e-02	5.051608e-03
1.150000e+01	5.579849e-01	1.651938e-02	4.202374e-01	1.638639e-02	2.177770e-02	5.842978e-03
1.250000e+01	5.213297e-01	1.495914e-02	4.555625e-01	1.458056e-02	2.310786e-02	6.225315e-03
1.330000e+01	4.941347e-01	1.366360e-02	4.836512e-01	1.434482e-02	2.221407e-02	5.610181e-03
1.500000e+01	4.310555e-01	1.645406e-02	5.449699e-01	1.698244e-02	2.397457e-02	5.664074e-03
