x	y1	ey1	y2	ey2	y3	ey3
1.300000e+00	9.133318e-01	6.550665e-03	7.939341e-02	7.281112e-03	7.274805e-03	3.383402e-03
1.500000e+00	9.093877e-01	4.678802e-03	8.344417e-02	3.932675e-03	7.168175e-03	2.838195e-03
1.600000e+00	9.043712e-01	7.266155e-03	8.677257e-02	7.259076e-03	8.856257e-03	4.373308e-03
1.800000e+00	9.029118e-01	1.107609e-02	8.962114e-02	9.635732e-03	7.467056e-03	4.574650e-03
2.000000e+00	9.030317e-01	6.860058e-03	8.910542e-02	6.885115e-03	7.862891e-03	3.852128e-03
2.700000e+00	8.780580e-01	8.830485e-03	1.121883e-01	8.406551e-03	9.753652e-03	3.554407e-03
3.100000e+00	8.658809e-01	1.125170e-02	1.241741e-01	1.223050e-02	9.944971e-03	5.568191e-03
3.100000e+00	8.714371e-01	1.127590e-02	1.197948e-01	1.115588e-02	8.768081e-03	4.179842e-03
3.800000e+00	8.506994e-01	1.306504e-02	1.402426e-01	1.284554e-02	9.058063e-03	5.722986e-03
4.168000e+00	8.414754e-01	1.138024e-02	1.510621e-01	1.294779e-02	7.462557e-03	5.294141e-03
4.600000e+00	8.364671e-01	1.078630e-02	1.543753e-01	1.022936e-02	9.157621e-03	4.080765e-03
6.200000e+00	7.922806e-01	9.302915e-03	1.971632e-01	9.081556e-03	1.055622e-02	4.297358e-03
6.600000e+00	7.868551e-01	1.258235e-02	2.051786e-01	1.156122e-02	7.966372e-03	5.192122e-03
7.000000e+00	7.680024e-01	1.463407e-02	2.234337e-01	1.558935e-02	8.563894e-03	6.200052e-03
7.800000e+00	7.504824e-01	1.028510e-02	2.400513e-01	1.135962e-02	9.466338e-03	4.770257e-03
8.100000e+00	7.374016e-01	7.610693e-03	2.527399e-01	8.367638e-03	9.858503e-03	4.346789e-03
9.200000e+00	7.180303e-01	1.386594e-02	2.712193e-01	1.256599e-02	1.075035e-02	5.383044e-03
9.900000e+00	6.895039e-01	2.364677e-02	3.022413e-01	2.408362e-02	8.254799e-03	8.556986e-03
1.020000e+01	6.799717e-01	1.545140e-02	3.077133e-01	1.608613e-02	1.231498e-02	6.577288e-03
1.050000e+01	6.787796e-01	1.738427e-02	3.106663e-01	1.888356e-02	1.055412e-02	7.271184e-03
1.100000e+01	6.523724e-01	1.259495e-02	3.367856e-01	1.225138e-02	1.084207e-02	4.873971e-03
1.150000e+01	6.418203e-01	1.163875e-02	3.466321e-01	1.130311e-02	1.154755e-02	4.889880e-03
1.250000e+01	6.167704e-01	1.706169e-02	3.715914e-01	1.862720e-02	1.163825e-02	6.606664e-03
1.330000e+01	5.911867e-01	1.340111e-02	3.985658e-01	1.608482e-02	1.024743e-02	5.966023e-03
1.500000e+01	5.387818e-01	1.468891e-02	4.493575e-01	1.490999e-02	1.186068e-02	5.757104e-03
