x	y1	ey1	y2	ey2	y3	ey3
1.300000e+00	9.076209e-01	8.669281e-03	8.383025e-02	8.218126e-03	8.548875e-03	3.195429e-03
1.500000e+00	8.992575e-01	8.888541e-03	9.139944e-02	8.789704e-03	9.343103e-03	3.368069e-03
1.600000e+00	8.985385e-01	9.298807e-03	9.232728e-02	8.929600e-03	9.134229e-03	2.889808e-03
1.800000e+00	8.952080e-01	8.836881e-03	9.641850e-02	9.106205e-03	8.373502e-03	3.227477e-03
2.000000e+00	8.903268e-01	1.127973e-02	1.012253e-01	1.096188e-02	8.447911e-03	3.206953e-03
2.700000e+00	8.738142e-01	9.942902e-03	1.175389e-01	9.732249e-03	8.646904e-03	3.204305e-03
3.100000e+00	8.632756e-01	9.753551e-03	1.279763e-01	9.566899e-03	8.748088e-03	3.054985e-03
3.100000e+00	8.624034e-01	1.050791e-02	1.283391e-01	9.649087e-03	9.257503e-03	3.058347e-03
3.800000e+00	8.446347e-01	1.110250e-02	1.465979e-01	1.055963e-02	8.767450e-03	3.119487e-03
4.168000e+00	8.355639e-01	1.011811e-02	1.552622e-01	1.015913e-02	9.173931e-03	3.093536e-03
4.600000e+00	8.238536e-01	1.144100e-02	1.666652e-01	1.174084e-02	9.481185e-03	3.086945e-03
6.200000e+00	7.785234e-01	1.367788e-02	2.123866e-01	1.376955e-02	9.089955e-03	3.301042e-03
6.600000e+00	7.679004e-01	1.335180e-02	2.225972e-01	1.348780e-02	9.502381e-03	3.477564e-03
7.000000e+00	7.539172e-01	1.373165e-02	2.366903e-01	1.374549e-02	9.392440e-03	3.394456e-03
7.800000e+00	7.307530e-01	1.369480e-02	2.597168e-01	1.340666e-02	9.530178e-03	3.181925e-03
8.100000e+00	7.227779e-01	1.372581e-02	2.673502e-01	1.389438e-02	9.871915e-03	3.417557e-03
9.200000e+00	6.906594e-01	1.408785e-02	3.000513e-01	1.421840e-02	9.289326e-03	3.288279e-03
9.900000e+00	6.673096e-01	1.600179e-02	3.225205e-01	1.549585e-02	1.016988e-02	3.713928e-03
1.020000e+01	6.604726e-01	1.536147e-02	3.292458e-01	1.512787e-02	1.028156e-02	3.600755e-03
1.050000e+01	6.500229e-01	1.566435e-02	3.394462e-01	1.590453e-02	1.053094e-02	3.476823e-03
1.100000e+01	6.333961e-01	1.487938e-02	3.563229e-01	1.497634e-02	1.028095e-02	3.554646e-03
1.150000e+01	6.176740e-01	1.599734e-02	3.713805e-01	1.586982e-02	1.094554e-02	3.663085e-03
1.250000e+01	5.859424e-01	1.527576e-02	4.028623e-01	1.529006e-02	1.119531e-02	3.630202e-03
1.330000e+01	5.606842e-01	1.520748e-02	4.285506e-01	1.498310e-02	1.076518e-02	3.656771e-03
1.500000e+01	5.059608e-01	1.736721e-02	4.826866e-01	1.750608e-02	1.135256e-02	3.842157e-03
