x	y	ey
1.200000e+00	3.600000e-03	1.429841e-03
1.300000e+00	4.600000e-03	1.712698e-03
1.320890e+00	4.600000e-03	2.590581e-03
1.400000e+00	3.900000e-03	1.852926e-03
1.485780e+00	2.500000e-03	1.779513e-03
1.500000e+00	4.000000e-03	1.943651e-03
1.578530e+00	4.600000e-03	2.674987e-03
1.600000e+00	4.000000e-03	2.160247e-03
1.700000e+00	6.500000e-03	2.121320e-03
1.714220e+00	9.700000e-03	2.213594e-03
1.750000e+00	1.150000e-02	2.953341e-03
1.791520e+00	2.950000e-02	7.412452e-03
1.800000e+00	4.630000e-02	4.498148e-03
1.850000e+00	1.946000e-01	1.988970e-02
1.875680e+00	2.742000e-01	1.289961e-02
1.900000e+00	3.502000e-01	1.438209e-02
1.930640e+00	4.418000e-01	1.149686e-02
1.950000e+00	4.919000e-01	1.313562e-02
1.989040e+00	6.012000e-01	1.483839e-02
2.000000e+00	6.232000e-01	1.721627e-02
2.050000e+00	7.564000e-01	1.201111e-02
2.100000e+00	8.825000e-01	1.259850e-02
2.138470e+00	9.604000e-01	3.596294e-03
2.150000e+00	9.759000e-01	6.756889e-03
2.200000e+00	9.826000e-01	2.988868e-03
2.250000e+00	9.857000e-01	2.540779e-03
2.300000e+00	9.891000e-01	2.282786e-03
2.400000e+00	9.900000e-01	4.163332e-03
2.427030e+00	9.921000e-01	2.469818e-03
2.500000e+00	9.919000e-01	1.852926e-03
2.519780e+00	9.914000e-01	4.005552e-03
2.600000e+00	9.924000e-01	1.505545e-03
2.700000e+00	9.931000e-01	2.424413e-03
2.800000e+00	9.926000e-01	2.458545e-03
2.804910e+00	9.934000e-01	3.657564e-03
2.900000e+00	9.934000e-01	2.221111e-03
2.974950e+00	9.925000e-01	2.368778e-03
3.000000e+00	9.923000e-01	2.907844e-03
3.100000e+00	9.935000e-01	1.840894e-03
3.165600e+00	9.944000e-01	2.170509e-03
3.200000e+00	9.919000e-01	2.766867e-03
serie	param0	param1	param2
Adam	9.834676e-01	1.876979e+00	1.578808e-01
Adam-irr	9.604391e-01	2.139309e+00	1.776075e-01
Geant4	9.921742e-01	1.955526e+00	1.437853e-01
