x	y	ey
1.200000e+00	4.210000e-03	1.854805e-03
1.300000e+00	4.080000e-03	2.038419e-03
1.320890e+00	4.260000e-03	1.834683e-03
1.400000e+00	3.650000e-03	1.844320e-03
1.485780e+00	3.900000e-03	1.795055e-03
1.500000e+00	4.250000e-03	2.109981e-03
1.578530e+00	5.060000e-03	1.791224e-03
1.600000e+00	5.830000e-03	2.412321e-03
1.700000e+00	1.772000e-02	4.601449e-03
1.714220e+00	3.268000e-02	6.203420e-03
1.750000e+00	1.232400e-01	9.228984e-03
1.791520e+00	2.616700e-01	1.268822e-02
1.800000e+00	2.867900e-01	1.530386e-02
1.850000e+00	4.435000e-01	1.354193e-02
1.875680e+00	5.188400e-01	1.445699e-02
1.900000e+00	5.900800e-01	1.437498e-02
1.930640e+00	6.761900e-01	1.436655e-02
1.950000e+00	7.287000e-01	1.541972e-02
1.989040e+00	8.336500e-01	1.389962e-02
2.000000e+00	8.588700e-01	1.193641e-02
2.050000e+00	9.634400e-01	5.545623e-03
2.100000e+00	9.850700e-01	4.083114e-03
2.138470e+00	9.863100e-01	3.495148e-03
2.150000e+00	9.866100e-01	4.143621e-03
2.200000e+00	9.889600e-01	3.174774e-03
2.250000e+00	9.895900e-01	2.974963e-03
2.300000e+00	9.909400e-01	2.870329e-03
2.400000e+00	9.921800e-01	2.434516e-03
2.427030e+00	9.922800e-01	3.133656e-03
2.500000e+00	9.927500e-01	2.735384e-03
2.519780e+00	9.927400e-01	2.272453e-03
2.600000e+00	9.926700e-01	2.674439e-03
2.700000e+00	9.920600e-01	2.856218e-03
2.800000e+00	9.925600e-01	2.575408e-03
2.804910e+00	9.924800e-01	2.833708e-03
2.900000e+00	9.923500e-01	2.701945e-03
2.974950e+00	9.933400e-01	2.239318e-03
3.000000e+00	9.926300e-01	2.623341e-03
3.100000e+00	9.931100e-01	2.394839e-03
3.165600e+00	9.931400e-01	2.696874e-03
3.200000e+00	9.930300e-01	2.664601e-03
serie	param0	param1	param2
Adam	9.835369e-01	1.877012e+00	1.580876e-01
Adam-irr	9.606317e-01	2.139471e+00	1.776862e-01
Geant4	9.923529e-01	1.873856e+00	1.432672e-01
